,Date,Résidus
3104,2020-10-30,-4305.726955237187
3105,2020-10-31,-3971.405264599438
3106,2020-11-01,-3967.515626566499
3107,2020-11-02,-5254.770211279618
3108,2020-11-03,-1976.5347674880468
3109,2020-11-04,270.1744441769915
3110,2020-11-05,-409.64625796789915
3111,2020-11-06,-1883.5339706365412
3112,2020-11-07,-5195.660093045379
3113,2020-11-08,-6452.608633697491
3114,2020-11-09,-7796.088650886581
3115,2020-11-10,-8646.51607982708
3116,2020-11-11,-12941.010541592477
3117,2020-11-12,-7948.731754668857
3118,2020-11-13,-9873.42466071833
3119,2020-11-14,-9536.519078587407
3120,2020-11-15,-7630.906420357693
3121,2020-11-16,-6891.650194402406
3122,2020-11-17,-7801.565561412659
3123,2020-11-18,-8620.213554044094
3124,2020-11-19,-6215.234598759911
3125,2020-11-20,-4558.890471411549
3126,2020-11-21,-2723.1605225700478
3127,2020-11-22,-1509.5147302624173
3128,2020-11-23,-1769.6203306392708
3129,2020-11-24,-2028.9173196252523
3130,2020-11-25,-3756.6084646200616
3131,2020-11-26,-4385.9884943710495
3132,2020-11-27,-5455.9816290173185
3133,2020-11-28,-5999.233317474369
3134,2020-11-29,-692.8787714420178
3135,2020-11-30,3256.7549215644394
3136,2020-12-01,1143.5777812176239
3137,2020-12-02,1865.7513426702644
3138,2020-12-03,1206.3637907782686
3139,2020-12-04,592.8966276817664
3140,2020-12-05,2893.1369768879085
3141,2020-12-06,3891.412905983816
3142,2020-12-07,5781.894958294171
3143,2020-12-08,5382.028542756918
3144,2020-12-09,5081.551487172066
3145,2020-12-10,3821.1720332253753
3146,2020-12-11,864.0380604928214
3147,2020-12-12,-1404.3483754880144
3148,2020-12-13,199.1061752851383
3149,2020-12-14,-1819.6103668288706
3150,2020-12-15,-3669.1820394147653
3151,2020-12-16,-3473.946473613265
3152,2020-12-17,-4251.216464279976
3153,2020-12-18,-5107.810690441547
3154,2020-12-19,-5966.139501221172
3155,2020-12-20,-5209.968398426281
3156,2020-12-21,-5248.116033716156
3157,2020-12-22,-11812.022074163004
3158,2020-12-23,-11849.730628969555
3159,2020-12-24,-11389.213951711004
3160,2020-12-25,-10488.905618566307
3161,2020-12-26,979.210919881778
3162,2020-12-27,2637.835801856694
3163,2020-12-28,-1271.3485635022516
3164,2020-12-29,-2027.2489252571831
3165,2020-12-30,-2055.348398388116
3166,2020-12-31,-3563.034137559531
3167,2021-01-01,-3771.134649158921
3168,2021-01-02,7044.704248497699
3169,2021-01-03,8739.050489224726
